split,source_class,class_index,class_name,file_path,file_name,extension,file_size_bytes,is_supported_extension,is_valid_image,is_corrupted,width,height,image_mode,channel_count,status,error_message
test,ok_front,0,NORMAL,data/raw/casting_product_images/casting_data/casting_data/test/ok_front/cast_ok_0_10.jpeg,cast_ok_0_10.jpeg,.jpeg,10690,True,True,False,300,300,RGB,3,VALID,
test,ok_front,0,NORMAL,data/raw/casting_product_images/casting_data/casting_data/test/ok_front/cast_ok_0_1001.jpeg,cast_ok_0_1001.jpeg,.jpeg,9137,True,True,False,300,300,RGB,3,VALID,
test,ok_front,0,NORMAL,data/raw/casting_product_images/casting_data/casting_data/test/ok_front/cast_ok_0_1002.jpeg,cast_ok_0_1002.jpeg,.jpeg,9869,True,True,False,300,300,RGB,3,VALID,
test,ok_front,0,NORMAL,data/raw/casting_product_images/casting_data/casting_data/test/ok_front/cast_ok_0_1003.jpeg,cast_ok_0_1003.jpeg,.jpeg,10546,True,True,False,300,300,RGB,3,VALID,
test,ok_front,0,NORMAL,data/raw/casting_product_images/casting_data/casting_data/test/ok_front/cast_ok_0_1019.jpeg,cast_ok_0_1019.jpeg,.jpeg,9564,True,True,False,300,300,RGB,3,VALID,
test,ok_front,0,NORMAL,data/raw/casting_product_images/casting_data/casting_data/test/ok_front/cast_ok_0_1020.jpeg,cast_ok_0_1020.jpeg,.jpeg,10411,True,True,False,300,300,RGB,3,VALID,
test,ok_front,0,NORMAL,data/raw/casting_product_images/casting_data/casting_data/test/ok_front/cast_ok_0_1021.jpeg,cast_ok_0_1021.jpeg,.jpeg,9048,True,True,False,300,300,RGB,3,VALID,
test,ok_front,0,NORMAL,data/raw/casting_product_images/casting_data/casting_data/test/ok_front/cast_ok_0_1022.jpeg,cast_ok_0_1022.jpeg,.jpeg,8952,True,True,False,300,300,RGB,3,VALID,
test,ok_front,0,NORMAL,data/raw/casting_product_images/casting_data/casting_data/test/ok_front/cast_ok_0_1026.jpeg,cast_ok_0_1026.jpeg,.jpeg,10004,True,True,False,300,300,RGB,3,VALID,
test,ok_front,0,NORMAL,data/raw/casting_product_images/casting_data/casting_data/test/ok_front/cast_ok_0_1028.jpeg,cast_ok_0_1028.jpeg,.jpeg,9964,True,True,False,300,300,RGB,3,VALID,
test,ok_front,0,NORMAL,data/raw/casting_product_images/casting_data/casting_data/test/ok_front/cast_ok_0_1031.jpeg,cast_ok_0_1031.jpeg,.jpeg,10103,True,True,False,300,300,RGB,3,VALID,
